request_id,client_id,tenant_id,slo_class,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason
0,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,0,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,978,true,608,101,0,0,0,0,0,,0,0,0,0,0,0,0,ok,,
1,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,1,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,1687,true,76,54,0,0,0,0,0,,0,0,30000000,30000000,0,0,0,ok,,
2,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,2,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,1818,true,756,66,0,0,0,0,0,,0,0,60000000,60000000,0,0,0,ok,,
3,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,3,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,2641,true,4270,42,0,0,0,0,0,,0,0,90000000,90000000,0,0,0,ok,,
4,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,4,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,6953,true,9,60,0,0,0,0,0,,0,0,120000000,120000000,0,0,0,ok,,
5,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,5,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,7023,true,576,57,0,0,0,0,0,,0,0,150000000,150000000,0,0,0,ok,,
6,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,6,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,7657,true,610,323,0,0,0,0,0,,0,0,180000000,180000000,0,0,0,ok,,
7,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,7,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,8590,true,17,35,0,0,0,0,0,,0,0,210000000,210000000,0,0,0,ok,,
8,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,8,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,8643,true,38,443,0,0,0,0,0,,0,0,240000000,240000000,0,0,0,ok,,
9,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,9,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,9125,true,353,40,0,0,0,0,0,,0,0,270000000,270000000,0,0,0,ok,,
10,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,10,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,9519,true,55,312,0,0,0,0,0,,0,0,300000000,300000000,0,0,0,ok,,
11,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,11,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,9887,true,220,612,0,0,0,0,0,,0,0,330000000,330000000,0,0,0,ok,,
12,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,12,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,10719,true,17,32,0,0,0,0,0,,0,0,360000000,360000000,0,0,0,ok,,
13,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,13,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,10769,true,288,125,0,0,0,0,0,,0,0,390000000,390000000,0,0,0,ok,,
14,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,14,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,11182,true,211,219,0,0,0,0,0,,0,0,420000000,420000000,0,0,0,ok,,
15,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,15,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,11614,true,185,31,0,0,0,0,0,,0,0,450000000,450000000,0,0,0,ok,,
16,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,16,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,11830,true,310,56,0,0,0,0,0,,0,0,480000000,480000000,0,0,0,ok,,
17,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,17,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,12197,true,55,226,0,0,0,0,0,,0,0,510000000,510000000,0,0,0,ok,,
18,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,18,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,12478,true,1347,39,0,0,0,0,0,,0,0,540000000,540000000,0,0,0,ok,,
19,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,19,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,13865,true,15,13,0,0,0,0,0,,0,0,570000000,570000000,0,0,0,ok,,
20,,,,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,0,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,978,true,691,112,0,0,0,0,0,,0,0,0,0,0,0,0,ok,,
21,,,,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,1,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,1782,true,228,104,0,0,0,0,0,,0,0,30000000,30000000,0,0,0,ok,,
22,,,,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,2,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,2115,true,1727,80,0,0,0,0,0,,0,0,60000000,60000000,0,0,0,ok,,
23,,,,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,3,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,3922,true,147,69,0,0,0,0,0,,0,0,90000000,90000000,0,0,0,ok,,
