request_id,client_id,tenant_id,slo_class,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason
0,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,0,swe_smith_system_prompt,978,true,811,101,0,0,0,0,0,,0,0,0,0,0,0,0,ok,,
1,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,1,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,1890,true,101,54,0,0,0,0,0,,0,0,30000000,30000000,0,0,0,ok,,
2,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,2,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,2045,true,1008,66,0,0,0,0,0,,0,0,60000000,60000000,0,0,0,ok,,
3,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,3,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,3119,true,5694,42,0,0,0,0,0,,0,0,90000000,90000000,0,0,0,ok,,
4,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,4,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,8855,true,13,60,0,0,0,0,0,,0,0,120000000,120000000,0,0,0,ok,,
5,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,5,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,8928,true,768,57,0,0,0,0,0,,0,0,150000000,150000000,0,0,0,ok,,
6,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,6,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,9753,true,813,323,0,0,0,0,0,,0,0,180000000,180000000,0,0,0,ok,,
7,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,7,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,10889,true,23,35,0,0,0,0,0,,0,0,210000000,210000000,0,0,0,ok,,
8,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,8,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,10947,true,51,443,0,0,0,0,0,,0,0,240000000,240000000,0,0,0,ok,,
9,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,9,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,11441,true,471,40,0,0,0,0,0,,0,0,270000000,270000000,0,0,0,ok,,
10,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,10,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,11952,true,73,312,0,0,0,0,0,,0,0,300000000,300000000,0,0,0,ok,,
11,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,11,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,12337,true,293,612,0,0,0,0,0,,0,0,330000000,330000000,0,0,0,ok,,
12,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,12,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,13242,true,23,32,0,0,0,0,0,,0,0,360000000,360000000,0,0,0,ok,,
13,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,13,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,13297,true,384,125,0,0,0,0,0,,0,0,390000000,390000000,0,0,0,ok,,
14,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,14,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,13806,true,282,219,0,0,0,0,0,,0,0,420000000,420000000,0,0,0,ok,,
15,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,15,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,14307,true,246,31,0,0,0,0,0,,0,0,450000000,450000000,0,0,0,ok,,
16,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,16,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,14584,true,414,56,0,0,0,0,0,,0,0,480000000,480000000,0,0,0,ok,,
17,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,17,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,15054,true,73,226,0,0,0,0,0,,0,0,510000000,510000000,0,0,0,ok,,
18,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,18,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,15353,true,1796,39,0,0,0,0,0,,0,0,540000000,540000000,0,0,0,ok,,
19,,,,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,19,alecthomas__voluptuous.a7a55f83.func_pm_op_swap__ik9k7pih.zlr2c8bz,17188,true,20,13,0,0,0,0,0,,0,0,570000000,570000000,0,0,0,ok,,
20,,,,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,0,swe_smith_system_prompt,978,true,921,112,0,0,0,0,0,,0,0,0,0,0,0,0,ok,,
21,,,,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,1,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,2011,true,305,104,0,0,0,0,0,,0,0,30000000,30000000,0,0,0,ok,,
22,,,,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,2,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,2420,true,2302,80,0,0,0,0,0,,0,0,60000000,60000000,0,0,0,ok,,
23,,,,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,3,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,4802,true,196,69,0,0,0,0,0,,0,0,90000000,90000000,0,0,0,ok,,
24,,,,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,4,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,5067,true,200,63,0,0,0,0,0,,0,0,120000000,120000000,0,0,0,ok,,
25,,,,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,5,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,5330,true,597,60,0,0,0,0,0,,0,0,150000000,150000000,0,0,0,ok,,
26,,,,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,6,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,5987,true,3689,60,0,0,0,0,0,,0,0,180000000,180000000,0,0,0,ok,,
27,,,,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,7,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,9736,true,688,65,0,0,0,0,0,,0,0,210000000,210000000,0,0,0,ok,,
28,,,,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,8,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,10489,true,859,187,0,0,0,0,0,,0,0,240000000,240000000,0,0,0,ok,,
29,,,,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,9,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,11535,true,23,35,0,0,0,0,0,,0,0,270000000,270000000,0,0,0,ok,,
30,,,,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,10,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,11593,true,84,376,0,0,0,0,0,,0,0,300000000,300000000,0,0,0,ok,,
31,,,,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,11,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,12053,true,384,70,0,0,0,0,0,,0,0,330000000,330000000,0,0,0,ok,,
32,,,,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,12,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,12507,true,78,189,0,0,0,0,0,,0,0,360000000,360000000,0,0,0,ok,,
33,,,,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,13,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,12774,true,23,24,0,0,0,0,0,,0,0,390000000,390000000,0,0,0,ok,,
34,,,,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,14,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,12821,true,89,250,0,0,0,0,0,,0,0,420000000,420000000,0,0,0,ok,,
35,,,,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,15,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,13160,true,23,25,0,0,0,0,0,,0,0,450000000,450000000,0,0,0,ok,,
36,,,,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,16,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,13208,true,89,333,0,0,0,0,0,,0,0,480000000,480000000,0,0,0,ok,,
37,,,,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,17,marshmallow-code__apispec.8b421526.lm_rewrite__lbt9ngyl.j8q4nrht,13630,true,26,27,0,0,0,0,0,,0,0,510000000,510000000,0,0,0,ok,,
